station_id;available_bikes;available_ebikes;free_stands;status;updated
42022;23;6;8;Operative;2020-03-09 00:00:12
42024;9;12;7;Operative;2020-03-09 00:00:12
12008;41;2;10;Operative;2020-03-09 00:00:12
42026;3;5;32;Operative;2020-03-09 00:00:12
12006;16;6;29;Operative;2020-03-09 00:00:12
42028;0;0;0;Work in progress;2020-03-09 00:00:12
12004;5;4;25;Operative;2020-03-09 00:00:12
12005;12;13;3;Operative;2020-03-09 00:00:12
12002;4;0;12;Operative;2020-03-09 00:00:12
12001;21;7;34;Operative;2020-03-09 00:00:12
10152;0;1;24;Operative;2020-03-09 00:00:12
10153;0;0;20;Operative;2020-03-09 00:00:12
10151;1;2;25;Operative;2020-03-09 00:00:12
23042;0;0;0;Work in progress;2020-03-09 00:00:12
23041;11;12;2;Operative;2020-03-09 00:00:12
11111;10;9;0;Operative;2020-03-09 00:00:12
11110;15;11;26;Operative;2020-03-09 00:00:12
11113;10;2;46;Operative;2020-03-09 00:00:12
11112;15;7;0;Operative;2020-03-09 00:00:12
11115;4;2;17;Operative;2020-03-09 00:00:12
11114;11;4;17;Operative;2020-03-09 00:00:12
11116;7;9;21;Operative;2020-03-09 00:00:12
8028;1;1;27;Operative;2020-03-09 00:00:12
8029;11;6;23;Operative;2020-03-09 00:00:12
8020;8;3;32;Operative;2020-03-09 00:00:12
8026;3;3;6;Operative;2020-03-09 00:00:12
8027;2;1;11;Operative;2020-03-09 00:00:12
8025;6;3;24;Operative;2020-03-09 00:00:12
11025;11;6;2;Operative;2020-03-09 00:00:12
11024;18;3;30;Operative;2020-03-09 00:00:12
11027;8;4;26;Operative;2020-03-09 00:00:12
11026;8;6;31;Operative;2020-03-09 00:00:12
11021;4;6;13;Operative;2020-03-09 00:00:12
11020;7;10;22;Operative;2020-03-09 00:00:12
11023;11;3;32;Operative;2020-03-09 00:00:12
11022;14;0;1;Operative;2020-03-09 00:00:12
15054;10;7;2;Operative;2020-03-09 00:00:12
15055;5;3;46;Operative;2020-03-09 00:00:12
15056;7;3;12;Operative;2020-03-09 00:00:12
15057;4;3;32;Operative;2020-03-09 00:00:12
15050;16;2;4;Operative;2020-03-09 00:00:12
11028;5;9;24;Operative;2020-03-09 00:00:12
15052;37;4;7;Operative;2020-03-09 00:00:12
15053;33;7;6;Operative;2020-03-09 00:00:12
16129;5;2;35;Operative;2020-03-09 00:00:12
16124;17;6;43;Operative;2020-03-09 00:00:12
16121;14;3;14;Operative;2020-03-09 00:00:12
16123;3;8;15;Operative;2020-03-09 00:00:12
16122;29;7;14;Operative;2020-03-09 00:00:12
16011;0;0;41;Operative;2020-03-09 00:00:12
16010;0;2;21;Operative;2020-03-09 00:00:12
16013;0;1;34;Operative;2020-03-09 00:00:12
16012;0;2;40;Operative;2020-03-09 00:00:12
16015;1;3;11;Operative;2020-03-09 00:00:12
16014;0;9;15;Operative;2020-03-09 00:00:12
16017;1;3;12;Operative;2020-03-09 00:00:12
16016;1;3;30;Operative;2020-03-09 00:00:12
16019;2;0;34;Operative;2020-03-09 00:00:12
16018;0;1;17;Operative;2020-03-09 00:00:12
12039;12;11;15;Operative;2020-03-09 00:00:12
12038;16;8;20;Operative;2020-03-09 00:00:12
12033;37;5;24;Operative;2020-03-09 00:00:12
12032;23;8;5;Operative;2020-03-09 00:00:12
12031;23;12;1;Operative;2020-03-09 00:00:12
12030;22;6;5;Operative;2020-03-09 00:00:12
12037;12;5;19;Operative;2020-03-09 00:00:12
12036;1;4;37;Operative;2020-03-09 00:00:12
12035;14;2;17;Operative;2020-03-09 00:00:12
12034;3;4;41;Operative;2020-03-09 00:00:12
12107;6;5;10;Operative;2020-03-09 00:00:12
12106;56;5;7;Operative;2020-03-09 00:00:12
12105;18;5;11;Operative;2020-03-09 00:00:12
12102;2;2;25;Operative;2020-03-09 00:00:12
12101;10;3;13;Operative;2020-03-09 00:00:12
12109;20;9;1;Operative;2020-03-09 00:00:12
12108;25;2;38;Operative;2020-03-09 00:00:12
10166;6;0;10;Operative;2020-03-09 00:00:12
10165;0;0;40;Operative;2020-03-09 00:00:12
10164;2;2;30;Operative;2020-03-09 00:00:12
10163;2;2;26;Operative;2020-03-09 00:00:12
10162;1;1;22;Operative;2020-03-09 00:00:12
10161;1;2;29;Operative;2020-03-09 00:00:12
21707;6;10;9;Operative;2020-03-09 00:00:12
21706;0;2;47;Operative;2020-03-09 00:00:12
21704;16;9;1;Operative;2020-03-09 00:00:12
21703;0;0;23;Close;2020-03-09 00:00:12
21702;1;3;47;Operative;2020-03-09 00:00:12
21701;2;10;18;Operative;2020-03-09 00:00:12
21708;2;4;24;Operative;2020-03-09 00:00:12
41211;2;4;28;Operative;2020-03-09 00:00:12
41210;3;2;14;Operative;2020-03-09 00:00:12
19036;1;2;30;Operative;2020-03-09 00:00:12
16021;2;2;19;Operative;2020-03-09 00:00:12
15114;0;3;30;Operative;2020-03-09 00:00:12
15111;4;6;15;Operative;2020-03-09 00:00:12
15110;2;2;20;Operative;2020-03-09 00:00:12
15113;2;0;23;Operative;2020-03-09 00:00:12
15112;1;3;20;Operative;2020-03-09 00:00:12
11109;11;2;10;Operative;2020-03-09 00:00:12
11102;24;7;28;Operative;2020-03-09 00:00:12
11103;18;8;12;Operative;2020-03-09 00:00:12
11101;31;7;11;Operative;2020-03-09 00:00:12
11107;26;6;12;Operative;2020-03-09 00:00:12
11104;1;9;10;Operative;2020-03-09 00:00:12
16025;19;8;42;Operative;2020-03-09 00:00:12
16026;1;2;20;Operative;2020-03-09 00:00:12
9020;0;0;21;Operative;2020-03-09 00:00:12
19031;2;11;8;Operative;2020-03-09 00:00:12
8035;1;2;32;Operative;2020-03-09 00:00:12
8034;7;2;26;Operative;2020-03-09 00:00:12
8037;6;12;19;Operative;2020-03-09 00:00:12
8036;8;2;23;Operative;2020-03-09 00:00:12
8031;5;2;25;Operative;2020-03-09 00:00:12
10028;0;3;26;Operative;2020-03-09 00:00:12
8033;0;2;24;Operative;2020-03-09 00:00:12
8032;4;0;32;Operative;2020-03-09 00:00:12
17042;0;1;51;Operative;2020-03-09 00:00:12
8039;3;1;7;Operative;2020-03-09 00:00:12
8038;8;5;16;Operative;2020-03-09 00:00:12
20132;4;1;21;Operative;2020-03-09 00:00:12
11105;4;3;43;Operative;2020-03-09 00:00:12
10024;7;4;8;Operative;2020-03-09 00:00:12
15029;11;4;36;Operative;2020-03-09 00:00:12
11037;10;4;24;Operative;2020-03-09 00:00:12
11034;13;1;34;Operative;2020-03-09 00:00:12
11035;7;2;44;Operative;2020-03-09 00:00:12
11032;9;7;31;Operative;2020-03-09 00:00:12
11033;27;1;5;Operative;2020-03-09 00:00:12
11030;5;5;13;Operative;2020-03-09 00:00:12
11031;11;13;15;Operative;2020-03-09 00:00:12
15021;7;4;53;Operative;2020-03-09 00:00:12
15020;12;4;16;Operative;2020-03-09 00:00:12
15023;6;4;24;Operative;2020-03-09 00:00:12
15022;4;4;34;Operative;2020-03-09 00:00:12
15025;24;8;15;Operative;2020-03-09 00:00:12
15024;4;0;19;Operative;2020-03-09 00:00:12
15027;0;2;18;Operative;2020-03-09 00:00:12
15026;9;5;18;Operative;2020-03-09 00:00:12
31104;2;5;23;Operative;2020-03-09 00:00:12
31105;1;10;7;Operative;2020-03-09 00:00:12
9022;1;2;30;Operative;2020-03-09 00:00:12
31101;0;1;18;Operative;2020-03-09 00:00:12
31102;0;2;19;Operative;2020-03-09 00:00:12
31103;14;20;2;Operative;2020-03-09 00:00:12
20134;1;1;18;Operative;2020-03-09 00:00:12
23701;5;3;15;Operative;2020-03-09 00:00:12
23703;0;2;16;Operative;2020-03-09 00:00:12
23702;1;0;19;Operative;2020-03-09 00:00:12
15059;18;12;35;Operative;2020-03-09 00:00:12
16138;0;0;0;Work in progress;2020-03-09 00:00:12
16139;0;0;0;Work in progress;2020-03-09 00:00:12
16136;19;1;10;Operative;2020-03-09 00:00:12
16002;3;4;31;Operative;2020-03-09 00:00:12
16003;13;4;12;Operative;2020-03-09 00:00:12
16001;2;1;22;Operative;2020-03-09 00:00:12
16006;0;3;16;Operative;2020-03-09 00:00:12
